arrangement_id,event_id,arrangement_xid,event_xid,arrangement_name,event_name,category,start_at,end_at,location_name,description
124494,335731,,,"Student Recital - Open",,"Student Recital","2026-04-25 19:30:00","2026-04-25 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111754,299175,,,"CCPA Opera",,"CCPA Performance-Music","2026-04-25 19:30:00","2026-04-25 21:30:00",,"Off-site location (TBD)"
115261,305222,,,"Hit the Wall",,"CCPA Performance-Theatre","2026-04-25 19:30:00","2026-04-25 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
124494,336074,,,"Student Recital - Open",,"Student Recital","2026-04-26 12:00:00","2026-04-26 13:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336266,,,"Student Recital - Open",,"Student Recital","2026-04-26 12:00:00","2026-04-26 13:00:00","Sullivan Room | Auditorium Building, room 220",
115261,305225,,,"Hit the Wall",,"CCPA Performance-Theatre","2026-04-26 14:00:00","2026-04-26 16:00:00","O'Malley Theatre | Auditorium Building, room 773",
124494,336146,,,"Student Recital - Open",,"Student Recital","2026-04-26 14:30:00","2026-04-26 15:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336269,,,"Student Recital - Open",,"Student Recital","2026-04-26 14:30:00","2026-04-26 15:30:00","Sullivan Room | Auditorium Building, room 220",
124494,335928,,,"Student Recital - Open",,"Student Recital","2026-04-26 17:00:00","2026-04-26 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,336272,,,"Student Recital - Open",,"Student Recital","2026-04-26 17:00:00","2026-04-26 18:00:00","Sullivan Room | Auditorium Building, room 220",
124494,335930,,,"Student Recital - Open",,"Student Recital","2026-04-27 17:00:00","2026-04-27 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335733,,,"Student Recital - Open",,"Student Recital","2026-04-27 19:30:00","2026-04-27 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111757,310711,,,"CLASSICAL GUITAR ENSEMBLE (ENS 209(Y)-01/409(Y)-01)",,"CCPA Performance-Music","2026-04-28 17:00:00","2026-04-28 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335621,,,"Student Recital - Open",,"Student Recital","2026-04-28 19:30:00","2026-04-28 20:30:00","Gage Gallery | Auditorium Building, room 178",
